iter	Passed	Remaining
0	30	30876
1	50	25224
2	80	26698
3	95	23833
4	125	24972
5	152	25332
6	181	25743
7	202	25074
8	233	25674
9	244	24207
10	270	24328
11	293	24157
12	309	23473
13	332	23384
14	355	23330
15	370	22784
16	399	23072
17	430	23491
18	466	24111
19	495	24283
20	523	24382
21	552	24539
22	573	24359
23	605	24643
24	642	25071
25	661	24780
26	681	24549
27	709	24647
28	722	24178
29	744	24076
30	760	23760
31	783	23697
32	808	23695
33	839	23842
34	870	24002
35	899	24096
36	924	24063
37	949	24039
38	965	23791
39	988	23714
40	1013	23694
41	1050	23960
42	1088	24222
43	1120	24351
44	1153	24485
45	1188	24640
46	1216	24656
47	1253	24862
48	1282	24892
49	1311	24914
50	1337	24890
51	1363	24863
52	1389	24834
53	1419	24869
54	1451	24942
55	1480	24957
56	1504	24895
57	1528	24824
58	1551	24746
59	1574	24668
60	1596	24580
61	1620	24519
62	1652	24570
63	1679	24560
64	1706	24546
65	1731	24501
66	1754	24437
67	1767	24218
68	1778	23998
69	1801	23938
70	1824	23878
71	1856	23931
72	1891	24016
73	1923	24065
74	1951	24062
75	1977	24047
76	2004	24030
77	2032	24024
78	2050	23909
79	2079	23915
80	2111	23951
81	2131	23857
82	2158	23850
83	2184	23821
84	2212	23812
85	2239	23804
86	2266	23783
87	2292	23756
88	2323	23779
89	2355	23811
90	2379	23770
91	2403	23719
92	2427	23674
93	2436	23484
94	2461	23446
95	2484	23397
96	2513	23402
97	2558	23548
98	2587	23547
99	2612	23511
100	2637	23475
101	2661	23429
102	2684	23375
103	2707	23326
104	2735	23314
105	2757	23260
106	2787	23265
107	2812	23231
108	2841	23224
109	2868	23206
110	2895	23191
111	2922	23171
112	2954	23190
113	2989	23234
114	3018	23226
115	3042	23186
116	3067	23151
117	3092	23112
118	3119	23095
119	3147	23082
120	3177	23085
121	3212	23119
122	3243	23128
123	3268	23087
124	3291	23041
125	3314	22993
126	3339	22955
127	3362	22907
128	3386	22865
129	3418	22877
130	3450	22889
131	3477	22864
132	3500	22821
133	3517	22729
134	3540	22682
135	3562	22633
136	3586	22591
137	3615	22583
138	3645	22578
139	3673	22567
140	3697	22527
141	3722	22489
142	3746	22449
143	3758	22340
144	3781	22298
145	3810	22286
146	3841	22290
147	3871	22286
148	3900	22274
149	3924	22237
150	3950	22213
151	3973	22170
152	4003	22160
153	4034	22165
154	4071	22193
155	4101	22192
156	4127	22160
157	4150	22118
158	4174	22081
159	4198	22039
160	4221	22001
161	4238	21925
162	4271	21933
163	4308	21960
164	4337	21948
165	4364	21925
166	4392	21912
167	4415	21868
168	4428	21774
169	4441	21684
170	4473	21688
171	4504	21685
172	4531	21661
173	4554	21623
174	4582	21602
175	4610	21583
176	4635	21554
177	4666	21550
178	4706	21587
179	4737	21583
180	4762	21551
181	4786	21514
182	4811	21479
183	4831	21425
184	4854	21386
185	4870	21315
186	4901	21308
187	4932	21305
188	4944	21215
189	4968	21182
190	4992	21145
191	5016	21112
192	5045	21096
193	5071	21070
194	5089	21012
195	5124	21022
196	5160	21033
197	5190	21024
198	5218	21006
199	5246	20985
200	5271	20954
201	5299	20933
202	5327	20918
203	5355	20897
204	5383	20876
