iter	Logloss	Accuracy
0	0.6751787866	0.8061797753
1	0.6596596308	0.8019662921
2	0.6430714533	0.8103932584
3	0.6295333098	0.808988764
4	0.6160220938	0.8230337079
5	0.6028946624	0.8230337079
6	0.5917455118	0.8216292135
7	0.5815779153	0.8188202247
8	0.56837841	0.8216292135
9	0.562498609	0.8202247191
10	0.5529197793	0.8174157303
11	0.5438318899	0.8174157303
12	0.5362953136	0.8202247191
13	0.5276062698	0.8202247191
14	0.5205148586	0.827247191
15	0.5149650749	0.8188202247
16	0.5078373655	0.8174157303
17	0.5012425785	0.8202247191
18	0.4943172741	0.8230337079
19	0.4892552718	0.8216292135
20	0.4837168036	0.8230337079
21	0.4783079968	0.8230337079
22	0.4749708006	0.8230337079
23	0.4693068346	0.8258426966
24	0.4647987878	0.8258426966
25	0.4625238162	0.8258426966
26	0.4596815917	0.8230337079
27	0.4558779067	0.8258426966
28	0.454470782	0.8244382022
29	0.4497457785	0.8258426966
30	0.4476794925	0.8258426966
31	0.4446440841	0.8258426966
32	0.440729624	0.8244382022
33	0.4386911474	0.8230337079
34	0.4357047906	0.8230337079
35	0.4329684841	0.8244382022
36	0.429149573	0.8244382022
37	0.4270726091	0.8216292135
38	0.425731377	0.8230337079
39	0.4247256822	0.8230337079
40	0.4228004342	0.8356741573
41	0.421401334	0.8356741573
42	0.4191855657	0.8370786517
43	0.4167366626	0.8370786517
44	0.4154544915	0.8384831461
45	0.4142348198	0.8314606742
46	0.4130578858	0.8398876404
47	0.4115614936	0.8328651685
48	0.4092185951	0.8342696629
49	0.4074355281	0.8356741573
50	0.4047937611	0.8342696629
51	0.4038438429	0.8342696629
52	0.4023437311	0.8356741573
53	0.400483887	0.8384831461
54	0.3989706246	0.8384831461
55	0.3962205984	0.8384831461
56	0.393909302	0.8398876404
57	0.3923547487	0.8426966292
58	0.390682668	0.8441011236
59	0.3893806759	0.8426966292
60	0.3883532646	0.8426966292
61	0.3870785734	0.8441011236
62	0.3855872878	0.8441011236
63	0.3849437751	0.845505618
64	0.3833892963	0.845505618
65	0.3830106708	0.845505618
66	0.3821523736	0.8483146067
67	0.3818502205	0.8469101124
68	0.3816557742	0.8483146067
69	0.3808839423	0.8497191011
70	0.3803149805	0.8483146067
71	0.3796605018	0.8497191011
72	0.3792073983	0.8497191011
73	0.3780196113	0.8497191011
74	0.3774993997	0.8511235955
75	0.3770319119	0.8511235955
76	0.3762441059	0.8511235955
77	0.374881922	0.8525280899
78	0.3746043691	0.8525280899
79	0.3732191133	0.8525280899
80	0.3728597923	0.8525280899
81	0.3726759684	0.8511235955
82	0.371940642	0.8511235955
83	0.3695705964	0.8539325843
84	0.3692138824	0.8539325843
85	0.368593496	0.8525280899
86	0.3667363748	0.8553370787
87	0.3665148668	0.8553370787
88	0.3656476517	0.8525280899
89	0.3646311088	0.8525280899
90	0.3642682242	0.8539325843
91	0.3636938135	0.856741573
92	0.3630506296	0.856741573
93	0.3630363026	0.856741573
94	0.3616755957	0.856741573
95	0.3613093088	0.856741573
96	0.3603267076	0.8595505618
97	0.3597934103	0.8609550562
98	0.3592616779	0.8595505618
99	0.35877476	0.8595505618
100	0.3580443345	0.8609550562
101	0.3566917528	0.8623595506
102	0.3561353751	0.8609550562
103	0.3553961614	0.8595505618
104	0.3544220106	0.8595505618
105	0.354270537	0.8595505618
106	0.3534537252	0.8595505618
107	0.3527478792	0.8609550562
108	0.352283894	0.8609550562
109	0.3516416426	0.8637640449
110	0.3512919053	0.8651685393
111	0.3506557428	0.8665730337
112	0.3500147705	0.8665730337
113	0.3499781084	0.8665730337
114	0.3493426226	0.8665730337
115	0.3486692075	0.8679775281
116	0.3480886484	0.8693820225
117	0.3471300143	0.8693820225
118	0.3462295806	0.8721910112
119	0.3460394373	0.8735955056
120	0.3453695511	0.8735955056
121	0.3446577253	0.8735955056
122	0.3444142443	0.8721910112
123	0.3433099924	0.8735955056
124	0.3423297203	0.8764044944
125	0.3421495972	0.8764044944
126	0.3418821733	0.8792134831
127	0.3416291658	0.8792134831
128	0.3412574587	0.8806179775
129	0.3408771669	0.8806179775
130	0.3406111965	0.8806179775
131	0.3401881664	0.8806179775
132	0.3398167923	0.8806179775
133	0.3397438983	0.8806179775
134	0.3394917045	0.8806179775
135	0.3389610507	0.8806179775
136	0.3378306664	0.8820224719
137	0.3374446611	0.8834269663
138	0.3365608646	0.8862359551
139	0.3362781269	0.8834269663
140	0.3357254456	0.8848314607
141	0.3352269527	0.8848314607
142	0.3346350424	0.8834269663
143	0.3344827021	0.8834269663
144	0.3339534354	0.8848314607
145	0.3337330852	0.8834269663
146	0.3334516398	0.8834269663
147	0.3332742398	0.8834269663
148	0.3322599102	0.8834269663
149	0.3320066472	0.8834269663
150	0.3314473479	0.8848314607
151	0.331066348	0.8834269663
152	0.3309235947	0.8834269663
153	0.3307843063	0.8834269663
154	0.3301433109	0.8834269663
155	0.3293520629	0.8820224719
156	0.3290643422	0.8834269663
157	0.3285711166	0.8848314607
158	0.3277709014	0.8848314607
159	0.3276670812	0.8848314607
160	0.3272696533	0.8848314607
161	0.3271620625	0.8848314607
162	0.3263174498	0.8848314607
163	0.3258905226	0.8848314607
164	0.3255756985	0.8848314607
165	0.3253387637	0.8848314607
166	0.3250549383	0.8834269663
167	0.3247663641	0.8834269663
168	0.3243828572	0.8848314607
169	0.3243644445	0.8862359551
170	0.3239617516	0.8862359551
171	0.3238467312	0.8862359551
172	0.3235363859	0.8862359551
173	0.3231270738	0.8848314607
174	0.3225418248	0.8876404494
175	0.3214271089	0.8890449438
176	0.3210759254	0.8862359551
177	0.3209532407	0.8876404494
178	0.3207180664	0.8876404494
179	0.3196666848	0.8904494382
180	0.3186038483	0.8890449438
181	0.3177670778	0.8904494382
182	0.3173389036	0.8918539326
183	0.3173229531	0.8918539326
184	0.3169820895	0.893258427
185	0.3169534386	0.893258427
186	0.3164093969	0.893258427
187	0.3159587799	0.893258427
188	0.3158924355	0.893258427
189	0.315423227	0.8918539326
190	0.3150852247	0.893258427
191	0.3148660712	0.893258427
192	0.3146419828	0.893258427
193	0.3139923069	0.8946629213
194	0.3139377143	0.8946629213
195	0.3137499932	0.8946629213
196	0.3134834079	0.8946629213
197	0.3129606301	0.8946629213
198	0.3125943744	0.8960674157
199	0.3120734074	0.8960674157
200	0.3120184883	0.8960674157
201	0.3117632396	0.8960674157
202	0.3109482783	0.8960674157
203	0.3105917572	0.8974719101
204	0.3099805303	0.8988764045
205	0.3099319674	0.8988764045
206	0.3090565909	0.8988764045
207	0.3088754918	0.8988764045
208	0.3085521505	0.8988764045
209	0.30790124	0.8988764045
210	0.3074942258	0.8988764045
211	0.306714391	0.8988764045
212	0.3064144126	0.8988764045
213	0.3060675315	0.8988764045
214	0.3057071984	0.8988764045
215	0.3050607881	0.9002808989
216	0.3047834478	0.8988764045
217	0.3044016659	0.9002808989
218	0.3042115558	0.9002808989
219	0.3036859369	0.9002808989
220	0.3030738034	0.8988764045
221	0.3028817372	0.8988764045
222	0.3023419788	0.8988764045
223	0.3016760119	0.9002808989
224	0.3014258146	0.9002808989
225	0.3008374046	0.9002808989
226	0.3007672741	0.9002808989
227	0.3006561184	0.9002808989
228	0.3003055489	0.9002808989
229	0.3001990892	0.9002808989
230	0.2999624438	0.9002808989
231	0.2992805195	0.9016853933
232	0.2989209853	0.9016853933
233	0.2986219341	0.9030898876
234	0.2983266983	0.9016853933
235	0.2977887675	0.9002808989
236	0.296979975	0.9002808989
237	0.2961971485	0.9002808989
238	0.2960817328	0.9016853933
239	0.2959463506	0.9016853933
240	0.2956303059	0.9030898876
241	0.2951218576	0.9030898876
242	0.2943786848	0.9030898876
243	0.2939520229	0.904494382
244	0.2935046543	0.904494382
245	0.2932654244	0.904494382
246	0.2931528953	0.9030898876
247	0.2930459686	0.9030898876
248	0.2926370601	0.9030898876
249	0.2924180432	0.9030898876
250	0.2922466139	0.9030898876
251	0.29195352	0.9030898876
252	0.291619444	0.9030898876
253	0.2913544018	0.9030898876
254	0.2911092368	0.904494382
255	0.290901452	0.904494382
256	0.2908240568	0.904494382
257	0.2907250404	0.904494382
258	0.2899590135	0.904494382
259	0.2898900799	0.904494382
260	0.289804248	0.904494382
261	0.2889492432	0.904494382
262	0.288432444	0.9058988764
263	0.2882772208	0.904494382
264	0.2881299855	0.9058988764
265	0.287966998	0.9058988764
266	0.2876102976	0.9058988764
267	0.2871381393	0.9058988764
268	0.286895418	0.9058988764
269	0.2866071043	0.9058988764
270	0.2862684906	0.9058988764
271	0.2860546483	0.9058988764
272	0.2857011299	0.9073033708
273	0.2854757687	0.9058988764
274	0.2850373917	0.9073033708
275	0.2847010832	0.9073033708
276	0.2845557373	0.9073033708
277	0.2843602228	0.9073033708
278	0.2838286312	0.9087078652
279	0.2836409193	0.9087078652
280	0.2835258548	0.9073033708
281	0.2828058139	0.9101123596
282	0.2824101372	0.9101123596
283	0.2819219841	0.9101123596
284	0.2816818097	0.9101123596
285	0.2812269708	0.9101123596
286	0.2810500649	0.9101123596
287	0.2810118827	0.9101123596
288	0.2806642538	0.9101123596
289	0.2805010069	0.9101123596
290	0.2795969351	0.9115168539
291	0.2793192745	0.9129213483
292	0.2790590586	0.9115168539
293	0.2784554132	0.9115168539
294	0.277876284	0.9129213483
295	0.2776846825	0.9129213483
296	0.2773675076	0.9129213483
297	0.2769914676	0.9129213483
298	0.2768818581	0.9129213483
299	0.2765527626	0.9129213483
300	0.276155695	0.9129213483
301	0.2759098492	0.9129213483
302	0.2754316183	0.9129213483
303	0.2751187917	0.9129213483
304	0.2748581361	0.9129213483
305	0.2748292381	0.9129213483
306	0.2743448301	0.9143258427
307	0.2740233769	0.9143258427
308	0.273961195	0.9143258427
309	0.2737242424	0.9143258427
310	0.2729039091	0.9143258427
311	0.2726071425	0.9143258427
312	0.2719503652	0.9129213483
313	0.2716945859	0.9157303371
314	0.2716262206	0.9157303371
315	0.2712286694	0.9157303371
316	0.2705627455	0.9157303371
317	0.2701228216	0.9157303371
318	0.2697469644	0.9157303371
319	0.2692012185	0.9171348315
320	0.2684831041	0.9143258427
321	0.2676905545	0.9157303371
322	0.2675558954	0.9157303371
323	0.2673899774	0.9157303371
324	0.2668539952	0.9157303371
325	0.2666593436	0.9157303371
326	0.2664798848	0.9171348315
327	0.2651764252	0.9185393258
328	0.2646475592	0.9185393258
329	0.2641189708	0.9185393258
330	0.2634989731	0.9185393258
331	0.2630869146	0.9185393258
332	0.2624736739	0.9185393258
333	0.2616470598	0.9185393258
334	0.2612285364	0.9185393258
335	0.2607480522	0.9185393258
336	0.2601137439	0.9185393258
337	0.259547182	0.9185393258
338	0.2591529865	0.9185393258
339	0.2590471583	0.9185393258
340	0.2586664124	0.9185393258
341	0.258073428	0.9185393258
342	0.2575924943	0.9185393258
343	0.2574261481	0.9185393258
344	0.2573145014	0.9185393258
345	0.2571378505	0.9185393258
346	0.2568360369	0.9185393258
347	0.2566873252	0.9185393258
348	0.2563561117	0.9185393258
349	0.2557978097	0.9185393258
350	0.2555465706	0.9185393258
351	0.2550932392	0.9185393258
352	0.2546051511	0.9199438202
353	0.2543926441	0.9199438202
354	0.2540823643	0.9213483146
355	0.2539614638	0.922752809
356	0.2536619342	0.9213483146
357	0.2534067612	0.9213483146
358	0.2531306729	0.9213483146
359	0.2529520925	0.9213483146
360	0.2526144293	0.9199438202
361	0.2523812927	0.9199438202
