iter	Passed	Remaining
0	14	14299
1	28	14249
2	44	14726
3	67	16802
4	90	18064
5	99	16550
6	121	17304
7	149	18499
8	180	19864
9	206	20478
10	241	21692
11	273	22519
12	298	22674
13	321	22628
14	346	22783
15	370	22773
16	401	23242
17	433	23667
18	467	24154
19	487	23872
20	496	23143
21	518	23066
22	541	23023
23	557	22680
24	583	22739
25	613	22995
26	646	23296
27	678	23558
28	709	23756
29	737	23843
30	767	23986
31	795	24054
32	825	24194
33	859	24424
34	890	24548
35	918	24589
36	944	24584
37	968	24506
38	980	24154
39	1003	24084
40	1016	23766
41	1042	23777
42	1072	23874
43	1101	23924
44	1127	23932
45	1140	23643
46	1163	23592
47	1193	23666
48	1220	23678
49	1249	23744
50	1283	23884
51	1318	24030
52	1343	24014
53	1367	23956
54	1390	23885
55	1413	23823
56	1436	23761
57	1462	23750
58	1494	23834
59	1522	23849
60	1551	23883
61	1576	23853
62	1602	23827
63	1630	23841
64	1656	23828
65	1686	23859
66	1716	23906
67	1747	23944
68	1774	23944
69	1798	23889
70	1810	23692
71	1836	23673
72	1865	23692
73	1892	23680
74	1924	23732
75	1956	23792
76	1984	23792
77	2010	23759
78	2034	23715
79	2057	23661
80	2073	23525
81	2096	23474
82	2127	23503
83	2156	23518
84	2183	23501
85	2195	23328
86	2218	23279
87	2240	23222
88	2261	23147
89	2283	23092
90	2308	23059
91	2338	23079
92	2368	23102
93	2395	23083
94	2417	23032
95	2440	22980
96	2463	22933
97	2486	22881
98	2510	22849
99	2543	22891
100	2577	22944
101	2606	22944
102	2634	22940
103	2663	22950
104	2693	22958
105	2721	22949
106	2753	22976
107	2783	22991
108	2811	22980
109	2820	22817
110	2842	22768
111	2851	22610
112	2875	22570
113	2897	22520
114	2920	22474
115	2948	22472
116	2978	22480
117	3012	22516
118	3043	22529
119	3071	22521
120	3097	22504
121	3124	22486
122	3152	22476
123	3182	22482
124	3212	22484
125	3236	22448
126	3260	22410
127	3284	22373
128	3307	22330
129	3330	22289
130	3354	22249
131	3384	22253
132	3415	22264
133	3434	22198
134	3458	22161
135	3481	22116
136	3509	22109
137	3537	22095
138	3547	21975
139	3577	21979
140	3611	22001
141	3641	22005
142	3666	21970
143	3694	21960
144	3720	21940
145	3748	21927
146	3776	21914
147	3809	21930
148	3843	21953
149	3857	21861
150	3883	21836
151	3907	21799
152	3936	21791
153	3965	21783
