iter	Logloss	Accuracy
0	0.6769293698	0.7991573034
1	0.6625129402	0.8019662921
2	0.6489004682	0.8005617978
3	0.6350984855	0.8005617978
4	0.6234166706	0.8005617978
5	0.6107523542	0.808988764
6	0.5992227761	0.808988764
7	0.5885554942	0.8117977528
8	0.5782325127	0.808988764
9	0.5726057459	0.8075842697
10	0.5627241963	0.808988764
11	0.5550917039	0.808988764
12	0.5507268737	0.8019662921
13	0.5433880893	0.8075842697
14	0.5363576231	0.8019662921
15	0.5290226956	0.8019662921
16	0.5222016255	0.8061797753
17	0.5172127444	0.8033707865
18	0.5111415716	0.8047752809
19	0.5054557321	0.8061797753
20	0.5023471336	0.8061797753
21	0.4975526848	0.808988764
22	0.4932588627	0.808988764
23	0.4889943084	0.8146067416
24	0.4838930888	0.8174157303
25	0.4787929053	0.8188202247
26	0.475263889	0.8188202247
27	0.4723783228	0.8202247191
28	0.4702877491	0.8202247191
29	0.4687801949	0.8230337079
30	0.4654263753	0.8216292135
31	0.462609701	0.8174157303
32	0.4611644631	0.816011236
33	0.4578311562	0.8202247191
34	0.4566568655	0.8188202247
35	0.4550888488	0.8188202247
36	0.4525341579	0.8216292135
37	0.4507688876	0.8216292135
38	0.4503300777	0.8202247191
39	0.4481903099	0.8216292135
40	0.4466064647	0.8202247191
41	0.4448119394	0.8216292135
42	0.4433251623	0.8230337079
43	0.4412956265	0.8258426966
44	0.4397704846	0.8258426966
45	0.4389694107	0.827247191
46	0.4371334813	0.827247191
47	0.4358890435	0.8286516854
48	0.4334270482	0.8300561798
49	0.4318314871	0.8328651685
50	0.4287883849	0.827247191
51	0.4267608409	0.827247191
52	0.4242555001	0.8328651685
53	0.4230119705	0.8356741573
54	0.4216478178	0.8370786517
55	0.4199548224	0.8356741573
56	0.4175586057	0.8370786517
57	0.4165813147	0.8384831461
58	0.4158993661	0.8398876404
59	0.4142624243	0.8412921348
60	0.4124318008	0.8412921348
61	0.4111417308	0.8412921348
62	0.4105225454	0.8441011236
63	0.4087369763	0.8441011236
64	0.4079633598	0.845505618
65	0.4066755939	0.8469101124
66	0.4059416836	0.845505618
67	0.4051153614	0.8469101124
68	0.4039419611	0.8483146067
69	0.4027566709	0.8483146067
70	0.4013986462	0.8469101124
71	0.400006344	0.8483146067
72	0.3989662996	0.8539325843
73	0.3976843112	0.8553370787
74	0.3975012209	0.8511235955
75	0.3963336207	0.8553370787
