iter	Logloss	Accuracy
0	0.6759401375	0.7941176471
1	0.6598990849	0.7941176471
2	0.6427983567	0.8179271709
3	0.6285092893	0.8179271709
4	0.6156984515	0.8151260504
5	0.6029399002	0.8151260504
6	0.5909418367	0.81232493
7	0.5803477123	0.8053221289
8	0.5698799816	0.8067226891
9	0.5590627284	0.81232493
10	0.5478522998	0.8165266106
11	0.5394448925	0.8193277311
12	0.5312407891	0.8179271709
13	0.5232311817	0.8151260504
14	0.5154046427	0.8165266106
15	0.5118531694	0.8179271709
16	0.5064806341	0.8179271709
17	0.5012857071	0.8179271709
18	0.4952577627	0.8179271709
19	0.4892624879	0.8179271709
20	0.4836453212	0.8221288515
21	0.4799001311	0.8207282913
22	0.4762142174	0.8207282913
23	0.4712002422	0.8179271709
24	0.4670814751	0.8193277311
25	0.4649049206	0.8179271709
26	0.4623271954	0.8179271709
27	0.458786979	0.8193277311
28	0.4565689076	0.8221288515
29	0.4559084361	0.8207282913
30	0.4513181814	0.8179271709
31	0.4477459475	0.8221288515
32	0.4466847524	0.8235294118
33	0.4441755398	0.8221288515
34	0.4409147812	0.8221288515
35	0.4374508407	0.824929972
36	0.4354646584	0.8263305322
37	0.4342855452	0.8263305322
38	0.4318527411	0.8263305322
39	0.4296294124	0.8263305322
40	0.4290025246	0.8263305322
41	0.4271709035	0.8263305322
42	0.4258354521	0.8263305322
43	0.4234864964	0.824929972
44	0.4222991568	0.8263305322
45	0.4220097001	0.824929972
46	0.4208094012	0.8263305322
47	0.419660125	0.8277310924
48	0.4177994995	0.8277310924
49	0.4164528944	0.824929972
50	0.4161360075	0.8263305322
51	0.4140547465	0.8263305322
52	0.412944901	0.8291316527
53	0.4120193506	0.8291316527
54	0.4104318733	0.8291316527
55	0.409194726	0.8305322129
56	0.4083250224	0.8319327731
57	0.4060876739	0.8347338936
58	0.4049503428	0.8347338936
59	0.4038045861	0.8347338936
60	0.4027774591	0.8347338936
61	0.4009597902	0.8361344538
62	0.3999949554	0.8361344538
63	0.3989704855	0.8347338936
64	0.3980449376	0.8361344538
65	0.3974308895	0.8361344538
66	0.3965408654	0.837535014
67	0.3941640671	0.837535014
68	0.3933216526	0.837535014
69	0.3919560789	0.837535014
70	0.3912308642	0.8403361345
71	0.3902499111	0.8403361345
72	0.3895497034	0.8417366947
73	0.3889157617	0.8403361345
74	0.3888619506	0.8417366947
75	0.3880375241	0.8417366947
76	0.3869973247	0.8445378151
77	0.3858819654	0.8445378151
78	0.3848426218	0.8445378151
79	0.383937138	0.850140056
80	0.3826158773	0.8515406162
81	0.3822682299	0.850140056
82	0.381277871	0.8515406162
83	0.3802668218	0.850140056
84	0.3797952235	0.850140056
85	0.379035573	0.8515406162
86	0.3784150363	0.8529411765
87	0.3775783674	0.8543417367
88	0.3764241553	0.8529411765
89	0.3756479117	0.8529411765
90	0.3742800403	0.8543417367
91	0.3736664192	0.8529411765
92	0.3728002813	0.850140056
93	0.3720744598	0.850140056
94	0.3711233306	0.8529411765
95	0.3702576305	0.8557422969
96	0.3690728244	0.8557422969
97	0.3685547302	0.8571428571
98	0.3681668699	0.8557422969
99	0.3678496102	0.8557422969
100	0.3673233523	0.8543417367
101	0.3668832407	0.8543417367
102	0.3668267138	0.8543417367
103	0.3662550338	0.8585434174
104	0.3660796391	0.8585434174
105	0.3658324959	0.8543417367
106	0.3645651713	0.8557422969
107	0.3634329221	0.8571428571
108	0.3631272875	0.8571428571
109	0.362684844	0.8585434174
110	0.3613774796	0.8585434174
111	0.3611386643	0.8585434174
112	0.3608538437	0.8571428571
113	0.3603098449	0.8599439776
114	0.3601996495	0.8599439776
115	0.3601425209	0.8613445378
