iter	Passed	Remaining
402	10479	15524
403	10512	15508
404	10543	15490
405	10571	15466
406	10597	15439
407	10623	15414
408	10648	15387
409	10674	15360
410	10704	15341
411	10734	15319
412	10764	15299
413	10788	15271
414	10812	15241
415	10835	15211
416	10859	15181
417	10882	15151
418	10905	15122
419	10937	15103
420	10968	15085
421	10999	15065
422	11026	15041
423	11053	15016
424	11079	14989
425	11105	14964
426	11134	14942
427	11165	14921
428	11195	14900
429	11223	14877
430	11247	14849
431	11272	14821
432	11296	14792
433	11321	14765
434	11347	14738
435	11373	14713
436	11405	14693
437	11435	14672
438	11464	14650
439	11488	14621
440	11512	14592
441	11535	14562
442	11559	14534
443	11583	14505
444	11613	14483
445	11640	14459
446	11667	14434
447	11692	14406
448	11715	14376
449	11742	14351
450	11770	14327
451	11800	14306
452	11832	14287
453	11863	14267
454	11892	14244
455	11915	14215
456	11940	14187
457	11966	14160
458	11991	14134
459	12021	14111
460	12052	14091
461	12082	14069
462	12108	14044
463	12132	14015
464	12154	13984
465	12178	13955
466	12204	13929
467	12233	13906
468	12264	13885
469	12293	13863
470	12322	13839
471	12349	13815
472	12375	13788
473	12401	13762
474	12428	13736
475	12458	13714
476	12489	13693
477	12520	13672
478	12547	13647
479	12572	13620
480	12599	13594
481	12624	13567
482	12650	13541
483	12678	13517
484	12712	13499
485	12741	13475
486	12765	13446
487	12789	13418
488	12812	13389
489	12836	13359
490	12859	13330
491	12883	13302
492	12914	13281
493	12943	13257
494	12970	13232
495	12994	13203
496	13017	13174
497	13041	13145
498	13068	13121
499	13097	13097
500	13132	13080
501	13167	13063
502	13197	13040
503	13223	13013
504	13248	12985
505	13271	12957
506	13294	12927
507	13322	12903
508	13351	12879
509	13377	12853
510	13403	12826
511	13429	12799
512	13458	12776
513	13484	12750
514	13512	12725
515	13544	12704
516	13572	12679
517	13597	12652
518	13621	12623
519	13643	12594
520	13666	12564
521	13691	12537
522	13714	12507
523	13744	12485
524	13775	12463
525	13806	12441
526	13835	12417
527	13860	12390
528	13887	12364
529	13913	12338
530	13938	12311
531	13986	12304
532	14019	12283
533	14046	12257
534	14073	12232
535	14099	12205
536	14124	12177
537	14146	12148
538	14170	12119
539	14194	12091
540	14223	12067
541	14254	12045
542	14281	12019
543	14311	11996
544	14338	11970
545	14364	11944
546	14389	11917
547	14418	11892
548	14450	11870
549	14480	11847
550	14504	11819
551	14528	11791
552	14552	11763
553	14576	11734
554	14599	11705
555	14622	11677
556	14652	11653
557	14686	11633
558	14715	11609
559	14743	11584
560	14771	11559
561	14799	11534
562	14825	11507
563	14855	11484
564	14885	11460
565	14910	11433
566	14933	11404
567	14959	11377
568	14984	11350
569	15012	11325
570	15043	11302
571	15078	11282
572	15113	11262
573	15136	11233
574	15160	11205
575	15184	11177
576	15208	11149
577	15232	11121
578	15259	11095
579	15291	11072
580	15321	11049
581	15346	11021
582	15371	10994
583	15397	10967
584	15422	10940
585	15449	10914
586	15475	10888
587	15506	10864
588	15537	10842
589	15565	10816
590	15590	10789
591	15614	10761
592	15646	10738
593	15671	10711
594	15700	10687
595	15734	10665
596	15764	10641
597	15791	10615
598	15818	10589
599	15842	10561
600	15868	10534
601	15891	10506
602	15916	10479
603	15943	10453
604	15974	10429
605	16000	10402
606	16023	10374
607	16050	10348
608	16076	10321
609	16101	10294
610	16129	10269
611	16161	10246
612	16193	10223
613	16218	10196
614	16242	10168
615	16267	10141
616	16291	10112
617	16315	10085
618	16341	10058
619	16372	10034
620	16403	10011
621	16428	9983
622	16452	9955
623	16476	9927
624	16500	9900
625	16525	9872
626	16549	9845
627	16580	9821
628	16612	9798
629	16638	9771
630	16662	9744
631	16686	9716
632	16713	9689
633	16739	9663
634	16767	9637
635	16798	9614
636	16829	9590
637	16855	9563
638	16880	9536
639	16905	9509
640	16933	9483
641	16960	9457
642	16988	9432
643	17020	9408
644	17052	9385
645	17079	9359
646	17105	9332
647	17130	9305
648	17155	9278
649	17181	9251
650	17211	9227
651	17244	9204
652	17275	9180
653	17303	9154
654	17329	9127
655	17356	9101
656	17382	9074
657	17409	9048
658	17439	9024
659	17472	9000
660	17502	8976
661	17528	8949
662	17551	8921
663	17575	8893
664	17598	8865
665	17622	8837
666	17646	8809
667	17677	8785
668	17709	8762
669	17738	8736
670	17766	8710
671	17809	8692
672	17836	8666
673	17864	8640
674	17893	8615
675	17923	8590
676	17946	8562
677	17970	8534
678	17993	8506
679	18016	8478
680	18039	8450
681	18069	8425
682	18099	8400
683	18131	8376
684	18160	8350
685	18188	8325
686	18213	8297
687	18235	8269
688	18258	8241
689	18285	8215
690	18314	8189
691	18344	8164
692	18369	8137
693	18396	8111
694	18421	8084
695	18448	8058
696	18475	8031
697	18504	8006
698	18541	7984
699	18572	7959
700	18598	7932
701	18621	7904
702	18644	7877
703	18668	7849
704	18691	7821
705	18716	7794
706	18745	7768
707	18774	7743
708	18800	7716
709	18826	7689
710	18849	7661
711	18871	7633
712	18894	7605
713	18918	7577
714	18949	7553
715	18981	7529
716	19012	7504
717	19038	7477
718	19064	7450
719	19090	7423
720	19114	7396
721	19140	7369
722	19169	7344
723	19199	7319
724	19225	7292
725	19252	7266
726	19279	7239
727	19306	7213
728	19333	7186
729	19363	7161
730	19395	7137
731	19425	7112
732	19451	7085
733	19477	7058
734	19500	7030
735	19525	7003
736	19550	6976
737	19575	6949
738	19606	6924
739	19635	6898
740	19661	6872
741	19686	6845
742	19709	6817
743	19733	6789
744	19756	6762
745	19780	6734
746	19810	6709
747	19843	6685
748	19870	6658
749	19894	6631
750	19917	6603
751	19943	6577
