iter	Logloss	Accuracy
92	0.3672739654	0.8546895641
93	0.3663338886	0.856010568
94	0.3658118686	0.856010568
95	0.3657762973	0.856010568
96	0.3646052083	0.857331572
97	0.3643229918	0.857331572
98	0.3633585682	0.858652576
99	0.3632862919	0.858652576
100	0.3627804785	0.858652576
101	0.3621427575	0.858652576
102	0.3616320764	0.858652576
103	0.3609780727	0.8599735799
104	0.3599162393	0.8639365918
105	0.3593422264	0.8639365918
106	0.3585279101	0.8626155878
107	0.3584780259	0.8639365918
108	0.3580998196	0.8652575958
109	0.3575509027	0.8652575958
110	0.3572339854	0.8652575958
111	0.3568262589	0.8652575958
112	0.3561604589	0.8652575958
113	0.356021489	0.8652575958
114	0.3554042073	0.8652575958
115	0.3547628325	0.8652575958
116	0.3542668849	0.8652575958
117	0.3537713135	0.8639365918
118	0.3531823815	0.8652575958
119	0.3524140822	0.8652575958
120	0.3521040556	0.8652575958
121	0.3514542566	0.8639365918
122	0.3512468079	0.8639365918
123	0.3506127226	0.8639365918
124	0.3501387567	0.8639365918
125	0.3499811094	0.8639365918
126	0.3493904578	0.8652575958
127	0.349088486	0.8652575958
128	0.3486471888	0.8652575958
129	0.3486471584	0.8652575958
130	0.3481351265	0.8652575958
131	0.3475093362	0.8665785997
132	0.3472449705	0.8665785997
133	0.3472187945	0.8665785997
134	0.3466701644	0.8665785997
135	0.3462308408	0.8665785997
136	0.3458353484	0.8665785997
137	0.3454045713	0.8665785997
138	0.3449631607	0.8665785997
139	0.34478644	0.8665785997
140	0.3440786974	0.8665785997
141	0.3436757794	0.8652575958
142	0.3435753353	0.8652575958
143	0.34353811	0.8652575958
144	0.3433380228	0.8652575958
145	0.3429061974	0.8652575958
146	0.3428257606	0.8652575958
147	0.3424386604	0.8665785997
148	0.3421290295	0.8652575958
149	0.3412488018	0.8678996037
150	0.3409660714	0.8678996037
151	0.3401005281	0.8678996037
152	0.3401005262	0.8678996037
153	0.3397471895	0.8692206077
154	0.339410422	0.8692206077
155	0.3384779728	0.8678996037
156	0.3380801138	0.8678996037
157	0.3375153996	0.8678996037
158	0.3366014017	0.8692206077
159	0.3362728681	0.8692206077
160	0.3359743003	0.8705416116
161	0.3359736944	0.8705416116
162	0.3353591118	0.8705416116
163	0.3349004645	0.8705416116
164	0.3346258873	0.8705416116
165	0.3338178269	0.8705416116
166	0.3333593067	0.8718626156
167	0.3333484229	0.8718626156
168	0.3328538128	0.8745046235
169	0.3321696122	0.8758256275
170	0.3320932883	0.8758256275
171	0.3320078946	0.8758256275
172	0.3311000193	0.8745046235
173	0.3310560544	0.8731836196
174	0.3306666312	0.8745046235
