iter	Passed	Remaining
0	25	25654
1	55	27720
2	75	25057
3	104	26026
4	124	24778
5	148	24528
6	171	24377
7	195	24293
8	218	24106
9	247	24477
10	277	24970
11	308	25399
12	338	25686
13	361	25491
14	379	24903
15	408	25107
16	434	25117
17	467	25482
18	490	25336
19	521	25561
20	549	25597
21	574	25522
22	594	25242
23	602	24499
24	616	24048
25	639	23938
26	661	23844
27	686	23832
28	719	24106
29	750	24256
30	775	24253
31	799	24193
32	809	23713
33	817	23225
34	840	23160
35	863	23120
36	885	23058
37	916	23192
38	949	23390
39	981	23551
40	988	23113
41	1016	23186
42	1045	23271
43	1075	23359
44	1106	23477
45	1139	23623
46	1172	23767
47	1177	23354
48	1202	23330
49	1225	23286
50	1249	23241
51	1277	23294
52	1286	22991
53	1309	22943
54	1336	22962
55	1367	23049
56	1396	23098
57	1423	23121
58	1449	23118
59	1475	23118
60	1501	23111
61	1531	23177
62	1561	23226
63	1589	23239
64	1614	23217
65	1637	23171
66	1662	23145
67	1679	23019
68	1689	22798
69	1716	22801
70	1752	22934
71	1790	23078
72	1827	23201
73	1857	23247
74	1884	23241
75	1909	23210
76	1922	23050
77	1947	23019
78	1977	23058
79	2011	23130
80	2041	23159
81	2067	23150
82	2094	23136
83	2111	23030
84	2139	23028
85	2165	23014
86	2195	23035
87	2226	23079
88	2233	22858
89	2260	22857
90	2287	22846
91	2301	22715
92	2331	22736
93	2342	22572
94	2370	22577
95	2399	22593
96	2415	22484
97	2445	22511
98	2466	22448
99	2496	22472
100	2522	22448
101	2547	22425
102	2572	22405
103	2597	22376
104	2627	22394
105	2654	22385
106	2683	22394
107	2710	22384
108	2737	22376
109	2755	22296
110	2781	22275
111	2791	22136
112	2819	22132
113	2849	22146
114	2879	22163
115	2911	22189
116	2939	22184
117	2968	22188
118	2990	22138
119	3013	22099
120	3029	22004
121	3051	21962
122	3084	21992
123	3116	22015
124	3144	22011
125	3170	21995
126	3198	21983
127	3227	21987
128	3255	21979
129	3284	21982
