iter	Logloss	Accuracy
0	0.6753390389	0.809256662
1	0.6569256322	0.824684432
2	0.6425642694	0.8204768583
3	0.6277954492	0.8218793829
4	0.6140434028	0.8218793829
5	0.6001278744	0.8260869565
6	0.5875676357	0.8274894811
7	0.5748946887	0.8288920056
8	0.5638389617	0.8288920056
9	0.5537289068	0.8260869565
10	0.5453985087	0.8288920056
11	0.5367740093	0.8288920056
12	0.5271414054	0.8260869565
13	0.5185627306	0.8274894811
14	0.5119879237	0.824684432
15	0.5045180126	0.824684432
16	0.4982360363	0.8274894811
17	0.4920330327	0.8274894811
18	0.4878866294	0.8274894811
19	0.4805990997	0.8288920056
20	0.47501374	0.8288920056
21	0.4701210227	0.8274894811
22	0.466116829	0.8260869565
23	0.4640096322	0.8274894811
24	0.4610427441	0.8274894811
25	0.4552242625	0.8302945302
26	0.4521166296	0.8316970547
27	0.4477829562	0.8316970547
28	0.44416075	0.8316970547
29	0.4409452523	0.8288920056
30	0.4367478398	0.8302945302
31	0.4340174514	0.8288920056
32	0.4334956055	0.8302945302
33	0.4328059131	0.8274894811
34	0.4282870742	0.8302945302
35	0.4238588635	0.8302945302
36	0.4220251758	0.8302945302
37	0.4203963694	0.8330995792
38	0.4176469325	0.8359046283
39	0.4163775408	0.8345021038
40	0.4162554411	0.8330995792
41	0.4128173761	0.8330995792
42	0.4110464312	0.8345021038
43	0.4091723388	0.8330995792
44	0.4060751646	0.8345021038
45	0.4043278549	0.8345021038
46	0.4032636609	0.8345021038
47	0.4031874282	0.8345021038
48	0.4014094506	0.8345021038
49	0.3990613325	0.8345021038
50	0.3967729729	0.8345021038
51	0.3957454185	0.8345021038
52	0.3952007983	0.8345021038
53	0.3914673303	0.8387096774
54	0.389640737	0.840112202
55	0.386721223	0.8387096774
56	0.3857341688	0.8415147265
57	0.3829116707	0.8429172511
58	0.3808922918	0.8443197756
59	0.3791982729	0.8457223001
60	0.3779068022	0.8457223001
61	0.3766495056	0.8457223001
62	0.3743765473	0.8499298738
63	0.3719651001	0.8513323983
64	0.3706801346	0.8513323983
65	0.36899767	0.8513323983
66	0.3677019047	0.8513323983
67	0.3671774598	0.8513323983
68	0.3669683468	0.8513323983
69	0.3663605993	0.8513323983
70	0.3655415053	0.8513323983
71	0.3648999306	0.8499298738
72	0.3635745492	0.8527349229
73	0.3626798494	0.8513323983
74	0.3620261519	0.8513323983
75	0.3614891063	0.8513323983
76	0.3612059443	0.8513323983
77	0.3604670805	0.8513323983
78	0.3590653329	0.8527349229
79	0.3567354025	0.8555399719
80	0.3547978717	0.8569424965
81	0.3534762123	0.8611500701
82	0.3529439636	0.8597475456
83	0.3521720536	0.8639551192
84	0.3518411021	0.8625525947
85	0.3506807296	0.8653576438
86	0.3493173873	0.8667601683
87	0.348602654	0.8667601683
88	0.348600322	0.8653576438
89	0.347870714	0.8653576438
90	0.3473598694	0.8681626928
91	0.3473200996	0.8681626928
